Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,CLTV,Churn,Tenure_Group,Online Security_flag,Online Backup_flag,Device Protection_flag,Tech Support_flag,Streaming TV_flag,Streaming Movies_flag,Total_Services,Has_Addons,Has_Fiber,Has_Autopay,Is_Senior,Is_Family,Is_New_Customer,Avg_Charge
Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,2604,1,0-6,0,0,0,0,0,0,0,0,0,0,0,0,1,22.77
Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,5337,1,25-36,0,1,1,0,1,1,4,1,1,0,1,1,0,100.58
Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,5034,1,61-72,0,1,1,1,1,1,5,1,1,1,0,1,0,111.93897058823529
Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5154,1,49-60,1,1,0,0,1,0,3,1,1,0,0,1,0,95.25272727272727
Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2793,1,37-48,0,0,0,0,0,0,0,0,1,0,1,1,0,77.51756756756757
Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,5998,1,7-12,1,0,0,0,1,1,3,1,1,0,0,1,0,106.465
Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,4415,1,0-6,0,0,0,0,0,0,0,0,1,0,0,1,1,76.51666666666667
Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,4638,1,25-36,0,0,1,0,0,0,1,1,1,0,1,1,0,79.0925925925926
Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,4190,1,25-36,1,1,1,0,1,1,5,1,0,1,0,1,0,60.106
Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,2301,1,0-6,0,0,0,0,0,1,1,1,0,0,0,0,1,35.45
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,2570,1,0-6,0,0,0,0,0,0,0,0,0,0,0,0,1,40.625
Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,3964,1,0-6,0,0,0,0,0,0,0,0,1,0,1,1,1,70.45
Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,2662,1,7-12,1,0,0,1,0,1,3,1,0,0,0,0,0,70.45625
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,2600,1,0-6,0,0,0,0,0,0,0,0,0,0,0,0,1,45.65
Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,2786,1,7-12,0,0,0,0,1,1,2,1,1,0,0,1,0,93.64285714285714
Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,5719,1,13-24,1,0,0,0,0,0,1,1,1,0,0,1,0,79.61749999999999
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,4287,1,0-6,0,0,0,0,0,0,0,0,1,1,0,1,1,68.25
Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,5444,1,49-60,0,1,1,0,0,1,3,1,0,0,1,1,0,45.710344827586205
Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,4690,1,0-6,0,0,1,1,1,1,4,1,1,0,0,1,1,121.4
Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,4328,1,49-60,0,0,1,0,1,1,3,1,1,1,0,1,0,94.3433962264151
Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,5717,1,13-24,0,0,0,0,0,0,0,0,1,0,1,1,0,76.38000000000001
Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,4419,1,7-12,1,0,0,0,0,0,1,1,1,1,1,1,0,71.94285714285715
Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,4534,1,0-6,0,1,0,0,0,0,1,1,0,1,0,0,1,29.95
Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,2152,1,7-12,0,0,0,0,0,1,1,1,1,1,0,1,0,82.83125
Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,5142,1,13-24,0,1,1,0,0,0,2,1,1,0,0,1,0,85.51153846153846
Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,4851,1,0-6,0,0,0,0,0,0,0,0,0,0,0,1,1,24.8
Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,2283,1,0-6,0,1,1,0,0,1,3,1,1,0,0,1,1,88.5
Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,3394,1,0-6,0,0,0,0,0,1,1,1,1,0,0,1,1,79.9
Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,3764,1,13-24,1,0,1,1,1,1,5,1,1,0,0,1,0,101.81315789473685
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,2667,1,0-6,0,0,0,0,0,0,0,0,0,1,0,0,1,42.25
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,2227,1,0-6,0,0,0,0,0,0,0,0,1,0,0,1,1,67.0875
Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,3394,1,0-6,0,0,0,1,0,0,1,1,0,0,0,1,1,44.8375
Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,3638,1,0-6,0,0,0,0,1,0,1,1,0,0,0,1,1,55.2
Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,2484,1,0-6,1,0,0,0,0,1,2,1,1,0,0,1,1,84.6
Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,2556,1,0-6,0,1,0,0,0,0,1,1,0,0,0,0,1,57.05
Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,5980,1,7-12,0,1,0,0,1,1,3,1,1,0,1,1,0,101.84545454545454
Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,4616,1,13-24,0,1,0,0,0,0,1,1,1,0,1,0,0,71.61999999999999
Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,5687,1,0-6,1,0,0,0,0,0,1,1,0,0,0,0,1,48.55
Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,5687,1,0-6,0,0,0,0,0,0,0,0,1,0,0,1,1,73.575
Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,5828,1,0-6,0,1,0,0,1,0,2,1,0,0,1,1,1,40.2
Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,4884,1,0-6,0,0,0,0,0,0,0,0,0,1,0,1,1,40.275
Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,2314,1,0-6,0,0,1,0,0,1,2,1,0,0,1,0,1,44.06666666666666
Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,2494,1,13-24,0,1,1,0,1,1,4,1,1,0,1,0,0,104.94615384615385
Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,5084,1,49-60,0,0,0,0,0,0,0,0,0,0,0,0,0,18.63728813559322
Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,3810,1,13-24,0,0,0,1,1,1,3,1,1,0,1,0,0,94.45
Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,5087,1,0-6,0,0,0,0,0,0,0,0,0,1,0,0,1,24.8
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,3338,1,0-6,0,0,0,0,0,0,0,0,1,0,0,0,1,70.6
Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,3676,1,0-6,0,1,0,1,0,0,2,1,1,0,0,1,1,80.22
Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,4839,1,49-60,0,1,1,0,1,1,4,1,1,0,0,1,0,108.17019230769232
Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,4643,1,13-24,0,0,1,0,1,1,3,1,1,0,0,1,0,98.88611111111112
Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,4094,1,0-6,0,0,0,0,0,0,0,0,1,0,0,1,1,70.0
Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,4345,1,7-12,0,1,0,0,0,0,1,1,1,0,1,0,0,75.81875
Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,4061,1,7-12,0,0,0,0,0,0,0,0,0,1,0,0,0,43.54
Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,2018,1,13-24,0,0,0,0,0,0,0,0,1,0,1,0,0,71.3625
Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,2565,1,0-6,1,0,0,0,0,0,1,1,1,0,0,0,1,73.6
Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,3677,1,0-6,0,0,0,0,1,1,2,1,1,0,1,0,1,99.025
Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,4105,1,25-36,0,0,0,0,0,0,0,0,1,0,1,1,0,71.9796875
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,5715,1,0-6,0,0,0,0,1,0,1,1,1,0,0,0,1,83.11
Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,2071,1,37-48,1,1,0,1,1,1,5,1,0,1,0,1,0,80.49078947368422
Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2212,1,13-24,0,0,1,0,1,1,3,1,1,0,1,1,0,92.96041666666667
Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4149,1,49-60,1,1,0,1,1,1,5,1,0,1,1,0,0,80.55740740740741
Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,2671,1,0-6,0,0,0,0,0,0,0,0,1,0,1,0,1,69.525
Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,2473,1,7-12,0,0,0,0,0,0,0,0,1,0,0,0,0,73.03571428571429
Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,2683,1,0-6,0,0,1,0,0,0,1,1,1,0,0,0,1,77.9
Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,4903,1,61-72,0,1,1,1,0,1,4,1,0,1,0,1,0,77.85220588235293
Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,5250,1,37-48,0,1,1,0,1,1,4,1,1,0,0,0,0,110.69418604651163
Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,4352,1,61-72,0,1,1,0,1,1,4,1,1,0,0,1,0,104.80952380952381
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,4157,1,0-6,0,0,0,0,1,1,2,1,1,0,0,0,1,84.1
Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,4939,1,0-6,0,1,1,0,0,0,2,1,1,1,0,1,1,92.975
Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,4778,1,13-24,1,0,0,0,1,0,2,1,0,0,1,0,0,40.00476190476191
Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,3598,1,7-12,0,0,0,0,0,1,1,1,1,1,0,0,0,84.6
Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,2927,1,25-36,1,0,0,0,0,0,1,1,0,1,1,1,0,29.81851851851852
Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,5383,1,0-6,0,0,1,0,1,1,3,1,1,1,0,0,1,98.51
Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,3878,1,0-6,0,0,0,0,1,0,1,1,1,0,0,0,1,90.75
Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,3642,1,25-36,0,0,1,1,1,1,4,1,1,1,0,1,0,102.66
Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,2431,1,0-6,0,1,0,0,0,0,1,1,0,0,0,0,1,50.65
Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,3424,1,0-6,0,1,0,0,0,1,2,1,1,1,0,0,1,90.85
Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,5888,1,7-12,0,0,0,0,0,0,0,0,0,0,1,1,0,19.522727272727273
Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,5502,1,49-60,0,1,1,0,0,0,2,1,1,0,1,1,0,88.63090909090909
Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,5795,1,25-36,0,1,0,0,0,0,1,1,1,1,0,0,0,74.24852941176471
Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,4020,1,61-72,0,0,1,0,1,1,3,1,1,1,0,1,0,101.55942028985508
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,3351,1,0-6,0,0,0,0,0,0,0,0,0,0,0,0,1,19.9
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,3448,1,0-6,0,0,0,0,0,0,0,0,0,0,0,0,1,19.6
Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,2818,1,0-6,0,1,0,0,0,0,1,1,1,0,1,0,1,77.89999999999999
Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,3804,1,13-24,0,1,0,0,0,1,2,1,1,0,0,1,0,83.90454545454546
Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,4902,1,0-6,0,0,1,0,0,0,1,1,1,1,1,0,1,75.3
Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,4221,1,61-72,0,0,0,0,0,0,0,0,0,0,0,1,0,19.38606557377049
Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,2887,1,7-12,0,0,0,0,0,0,0,0,0,1,0,0,0,43.24166666666667
Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,4105,1,49-60,0,1,1,0,1,1,4,1,1,0,0,0,0,106.6075
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,2792,1,0-6,0,0,0,0,0,0,0,0,1,0,0,0,1,69.55
Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,5201,1,25-36,0,0,0,0,0,1,1,1,1,0,0,1,0,79.53928571428571
Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,4417,1,0-6,0,0,1,0,1,1,3,1,1,0,0,1,1,96.475
Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,2031,1,7-12,0,1,0,0,1,1,3,1,1,0,0,0,0,96.17857142857143
Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,4498,1,13-24,0,0,0,0,0,1,1,1,0,0,0,1,0,56.48846153846154
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,4877,1,0-6,0,0,0,0,0,1,1,1,0,0,0,0,1,55.0
Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,5980,1,0-6,0,1,0,0,0,0,1,1,1,0,0,1,1,74.7
Male,No,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,4418,1,13-24,0,1,0,0,0,0,1,1,1,0,0,0,0,77.5625
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,4192,1,0-6,0,0,0,1,1,1,3,1,1,0,0,0,1,90.67999999999999
Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,5671,1,13-24,0,0,0,0,0,0,0,0,1,1,0,0,0,66.32
Female,No,Yes,No,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,4926,1,37-48,1,0,1,0,0,1,3,1,0,1,0,1,0,44.6875
Female,No,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,2879,1,7-12,0,1,0,0,1,0,2,1,1,0,0,1,0,85.00625
Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,2814,1,0-6,0,0,0,0,0,0,0,0,1,0,0,0,1,74.35
Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,4263,1,0-6,1,0,0,0,0,0,1,1,1,0,0,1,1,69.7
Male,No,No,No,22,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.75,3099,1,13-24,0,1,1,0,0,1,3,1,0,1,0,0,0,41.07272727272727
Female,Yes,No,No,5,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,28.45,4099,1,0-6,0,1,0,0,0,0,1,1,0,0,1,0,1,26.21
Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,2538,1,7-12,1,1,1,0,0,1,4,1,1,1,0,0,0,103.20416666666667
Female,Yes,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.1,2666,1,13-24,0,1,1,0,0,1,3,1,1,0,1,0,0,89.12
